230,CHESTER STATION,BD,TUO,Transportation Department - Other
231,YORK MILLS STATION,YU,TUSC,Operator Overspeeding
232,WARDEN STATION,BD,SUDP,Disorderly Patron
233,EGLINTON STATION,YU,SUDP,Disorderly Patron
234,DAVISVILLE STATION,YU,SUDP,Disorderly Patron
235,KING STATION,YU,SUDP,Disorderly Patron
236,JANE STATION,BD,TUS,Crew Unable to Maintain Schedule
237,DUNDAS WEST STATION,BD,TUOS,Operator Overshot Platform
238,DAVISVILLE STATION,YU,MUDD,Door Problems - Debris Related
239,ST ANDREW STATION,YU,SUUT,Unauthorized at Track Level
240,COXWELL STATION,BD,SUDP,Disorderly Patron
241,PIONEER VILLAGE STATIO,YU,MUIR,Injured or ill Customer (On Train) - Medical Aid Refused
242,FINCH STATION,YU,EUSC,Speed Control Equipment  
243,KENNEDY BD STATION,BD,EUPI,Propulsion System
244,LESLIE STATION,SHP,TUSC,Operator Overspeeding
245,WILSON STATION,YU,EUATC,ATC RC&S Equipment
246,DOWNSVIEW PARK STATION,YU,EUATC,ATC RC&S Equipment
247,HIGHWAY 407 STATION,YU,EUATC,ATC RC&S Equipment
248,SHEPPARD-YONGE STATION,SHP,TUSC,Operator Overspeeding
249,ST CLAIR STATION,YU,MUCL,Divisional Clerk Related
250,DON MILLS STATION,SHP,MUI,Injured or ill Customer (On Train) - Transported
251,GLENCAIRN STATION,YU,TUOS,Operator Overshot Platform
252,CHESTER STATION,BD,TUO,Transportation Department - Other
253,BLOOR STATION,YU,SUDP,Disorderly Patron
254,YONGE BD STATION,SHP,MUSAN,Unsanitary Vehicle
255,LESLIE STATION,SHP,TUSC,Operator Overspeeding
256,KIPLING STATION,BD,SUUT,Unauthorized at Track Level
257,KENNEDY BD STATION,BD,MUIR,Injured or ill Customer (On Train) - Medical Aid Refused
258,GLENCAIRN STATION,YU,MUATC,ATC Project
259,ROYAL YORK STATION,BD,PUEME,#N/A
260,ST GEORGE YUS STATION,YU,EUDO,Door Problems - Faulty Equipment
261,BROADVIEW STATION,BD,PUEWZ,#N/A
262,ST GEORGE BD STATION,BD,MUDD,Door Problems - Debris Related
263,HIGH PARK STATION,BD,MUIR,Injured or ill Customer (On Train) - Medical Aid Refused
264,SHEPPARD WEST STATION,YU,MUPAA,Passenger Assistance Alarm Activated - No Trouble Found
265,KENNEDY BD STATION,BD,TUMVS,Operator Violated Signal
266,QUEEN STATION,YU,MUATC,ATC Project
267,EGLINTON STATION,YU,PUSI,Signals or Related Components Failure 
268,VAUGHAN MC STATION,YU,MUIR,Injured or ill Customer (On Train) - Medical Aid Refused
269,QUEEN STATION,YU,MUSC,Miscellaneous Speed Control
270,VAUGHAN MC STATION,YU,MUCL,Divisional Clerk Related
271,ST PATRICK STATION,YU,MUATC,ATC Project
272,FINCH STATION,YU,MUSC,Miscellaneous Speed Control
273,YONGE BD STATION,BD,SUDP,Disorderly Patron
274,YORK MILLS STATION,YU,TUMVS,Operator Violated Signal
275,KENNEDY SRT STATION,SRT,PRSA,Axle Counter Related
276,CHESTER STATION,BD,TUO,Transportation Department - Other
277,DUNDAS STATION,YU,TUOS,Operator Overshot Platform
278,SHERBOURNE STATION,BD,MUDD,Door Problems - Debris Related
279,DUFFERIN STATION,BD,SUDP,Disorderly Patron
280,YORK MILLS STATION,YU,MUPLB,Fire/Smoke Plan B - Source TTC
281,YONGE BD STATION,BD,SUDP,Disorderly Patron
282,GLENCAIRN STATION,YU,MUDD,Door Problems - Debris Related
283,VICTORIA PARK STATION,BD,TUMVS,Operator Violated Signal
284,UNION STATION,YU,MUATC,ATC Project
285,NORTH YORK CTR STATION,YU,TUMVS,Operator Violated Signal
286,SPADINA YUS STATION,YU,MUATC,ATC Project
287,SHEPPARD WEST STATION,YU,MUATC,ATC Project
288,QUEEN STATION,YU,MUSC,Miscellaneous Speed Control
289,JANE STATION,BD,SUDP,Disorderly Patron
290,CHESTER STATION,BD,TUO,Transportation Department - Other
291,MAIN STREET STATION,BD,SUDP,Disorderly Patron
292,SUMMERHILL STATION,YU,SUUT,Unauthorized at Track Level
293,EGLINTON STATION,YU,TUMVS,Operator Violated Signal
294,DON MILLS STATION,SHP,TUMVS,Operator Violated Signal
295,QUEEN STATION,YU,MUATC,ATC Project
296,VAUGHAN MC STATION,YU,MUTO,Misc. Transportation Other - Employee Non-Chargeable
297,CHRISTIE STATION,BD,MUI,Injured or ill Customer (On Train) - Transported
298,BAY STATION,BD,MUTD,Training Department Related Delays
299,CASTLE FRANK STATION,BD,EUDO,Door Problems - Faulty Equipment
300,BROADVIEW STATION,BD,EUCD,Consequential Delay (2nd Delay Same Fault)
301,NORTH YORK CTR STATION,YU,MUPR1,Priority One - Train in Contact With Person
302,NORTH YORK CTR STATION,YU,MUPAA,Passenger Assistance Alarm Activated - No Trouble Found
303,VAUGHAN MC STATION,YU,MUSAN,Unsanitary Vehicle
304,DUFFERIN TO KIPLING ST,BD,TUS,Crew Unable to Maintain Schedule
305,JANE STATION,BD,MUDD,Door Problems - Debris Related
306,LAWRENCE WEST STATION,YU,PUSAC,Signals Axle Counter Block Failure
307,CASTLE FRANK STATION,BD,TUS,Crew Unable to Maintain Schedule
308,KENNEDY BD STATION,BD,SUDP,Disorderly Patron
309,COXWELL STATION,BD,TUS,Crew Unable to Maintain Schedule
310,DONLANDS STATION,BD,SUDP,Disorderly Patron
311,SHEPPARD STATION,YU,MUPAA,Passenger Assistance Alarm Activated - No Trouble Found
312,DAVISVILLE YARD,YU,PUTSM,Track Switch Failure - Track Related Problem
313,KEELE STATION,BD,PUCSC,Signal Control Problem - Signals
314,SHERBOURNE STATION,BD,MUPAA,Passenger Assistance Alarm Activated - No Trouble Found
