3114,Scarborough Centre Station,21,Mechanical
3115,Finch & weston,36,Mechanical
3116,Davisville,11,Mechanical
3117,Finch West Station,36,Late Leaving Garage - Operator
3118,Ellesmere RT,95,Late Leaving Garage - Management
3119,Queens Park,5,Mechanical
3120,Neilson & Crow trail.,39,Mechanical
3121,Teddington,74,Mechanical
3122,EVANS AND SHERWAY GATE,123,Mechanical
3123,LRT Station,54,Mechanical
3124,Kennedy Station,86,Management
3125,Jane and Alliance,161,Mechanical
3126,Lawrence West Station,52,Mechanical
3127,Warden Station,102,Utilized Off Route
3128,St Clair and Yonge,88,Investigation
3129,Finch west stn,36,Mechanical
3130,Warden Station,102,Utilized Off Route
3131,Finch west stn,36,Investigation
3132,Malvern Gate,85,Mechanical
3133,Kingston road loop,95,Utilized Off Route
3134,Warden Station,16,Utilized Off Route
3135,Warden Station,17,Utilized Off Route
3136,St Clair west stn,126,Mechanical
3137,Scarborough Centre Station,133,Utilized Off Route
3138,St. Clair West Stn,90,Utilized Off Route
3139,STEELES AND MARTINGROVE,46,Mechanical
3140,Pine/Lawrence,32,Mechanical
3141,Scarborough Centre Station,133,Utilized Off Route
3142,Warden Station,17,Utilized Off Route
3143,Scarborough Centre Station,133,Utilized Off Route
3144,Warden Station,17,Utilized Off Route
3145,Pine/Lawrence,32,Mechanical
3146,Scarborough Centre Station,133,Utilized Off Route
3147,Warden Station,102,Utilized Off Route
3148,Kennedy Station,43,Utilized Off Route
3149,Scarborough Centre Station,133,Utilized Off Route
3150,scarborough Centre Station,133,Utilized Off Route
3151,Scarborough Centre Station,133,Utilized Off Route
3152,Warden Station,16,Utilized Off Route
3153,Warden Station,102,Utilized Off Route
3154,Lawrence West stn,163,Mechanical
3155,SHERBOURNE and Bloor,75,Utilized Off Route
3156,Pioneer Village Station,600,Mechanical
3157,Royal York Station,76,Mechanical
3158,Belleamy and Lawrence,54,Investigation
3159,Finch / Kipling,36,Mechanical
3160,Finch station,42,Vision
3161,sheppard west station,108,Mechanical
3162,Jane at Wilson,35,Emergency Services
3163,Ellesmere and Pharmacy,67,Investigation
3164,Victoria Park Stn,12,Investigation
3165,Victoria park,39,Mechanical
3166,Kipling and Horner,44,Mechanical
3167,Eglinton Stn,32,Mechanical
3168,Warden Station,135,Mechanical
3169,Sheppard West Station,84,Mechanical
3170,Ellesmere/Birchmount,95,Mechanical
3171,Yonge and Sheppard,97,Investigation
