2087,King and Spadina,504,Mechanical
2088,Queen/Church,501,Held By
2089,Spadina and Fort York Blvd,511,Mechanical
2090,EXHIBITION WEST LOOP,504,Mechanical
2091,Dundas and Parliament,505,Diversion
2092,Dundas and Bay,505,Diversion
2093,WILSON PARK DRIVE AND KING,304,Mechanical
2094,Dundas Church St,505,Mechanical
2095,King/Dufferin,504,Investigation
2096,CNE Loop,511,Mechanical
2097,Bathurst and Ulster,511,Mechanical
2098,King and Parliament,510,Investigation
2099,Dufferin and Liberty,504,Held By
2100,Parliament north of Queen,501,Investigation
2101,Queensway and Roncesvalles,501,Held By
2102,Queen/University,501,Mechanical
2103,springhurst loop,504,Mechanical
2104,Ronce and Marion,504,Held By
2105,Dundas West Ossington Ave,505,Overhead - Pantograph
2106,Dundas St West and Sterling,505,Investigation
2107,Spadina and College,510,Held By
2108,Spadina south of College,505,Investigation
2109,Spadina and College,510,Investigation
2110,Dundas/Bloor,504,Mechanical
2111,Humber Loop,501,Investigation
2112,Dundas and Bloor,506,Held By
2113,Dundas and Bloor,505,Held By
2114,Queen and Bellfair,301,Emergency Services
2115,Dundas West Station,306,Investigation
2116,Queen & Jameson,501,Investigation
2117,Roncy and Queen,504,Mechanical
2118,Dundas Parliament,505,Mechanical
2119,Bathurst station,511,Utilized Off Route
2120,Lakeshore/Superior,501,Investigation
2121,Queensway/Glendale,501,Investigation
2122,King/Dowling,504,General Delay
2123,Gerrard and Marjory,506,Investigation
2124,Lakeshore and 5th,501,Held By
2125,Parkside and Jeffrey,506,Mechanical
2126,Dundas and Parliament,501,Investigation
2127,Queen and Wynona,501,Held By
2128,Dundas and Jarvis,505,Held By
2129,Lakeshort and 5th,501,Mechanical
2130,Boradview Ave and Dundas St,301,Held By
2131,Broadview and Dundas,504,Held By
2132,Howard Park and Parkside,506,Investigation
2133,Humber Loop,501,Utilized Off Route
2134,College and Yonge,506,Held By
2135,Bathurst Station,511,Utilized Off Route
2136,Broadview Station,505,Mechanical
2137,Queen and Bathurst,501,Emergency Services
2138,Bathurst Station,511,Mechanical
2139,Bathurst Station,511,Utilized Off Route
2140,St. Clair and Lansdowne Street,512,Emergency Services
2141,Dundas and Bay,505,Held By
2142,Dundas and Bay,505,Held By
2143,Dundas and College,505,Investigation
2144,Broadview and Dundas1,505,Investigation
2145,Neville Loop,501,Mechanical
2146,Queen/Bay,501,Held By
2147,st.clair west station,512,Investigation
2148,Parliament-Dundas,501,Investigation
2149,QUUEN AND PETER,501,Held By
2150,Bathurst and Bloor,511,Investigation
2151,NEVILLE LOOP,501,Mechanical
2152,ST.CLAIR AND BATHURST,512,Investigation
2153,Dundas and Sorauren,506,Investigation
2154,QUEEN AND RONCESSVALLES,501,Mechanical
2155,DUNDAS AND RIVER,501,Investigation
2156,Dundas and River,504,Investigation
2157,QUEEN AND PARLIAMENT,501,Investigation
2158,Parliament and Dundas,504,Emergency Services
2159,Queen & Roncesvalles,501,Mechanical
2160,King and Jefferson,504,General Delay
2161,King and Sumach,504,Utilized Off Route
2162,Dundas and Spadina,510,Emergency Services
2163,Spadina and Queen,510,Diversion
2164,Dundas West Station,504,Mechanical
2165,Roncesvalles and Marion Street,504,Mechanical
2166,parliament and queen,501,Investigation
2167,Church and King Street,504,Held By
2168,Queen and sudbury,501,Mechanical
2169,Bathurst STN,511,Utilized Off Route
2170,CNE Loop,511,Utilized Off Route
2171,Queen and Dovercourt,501,Held By
2172,Sunnyside Loop,511,Held By
2173,PARLIAMENT AND QUEEN,501,Held By
2174,Broadview Station,505,Mechanical
2175,Dundas and Parliament,505,Emergency Services
2176,Dundas West Station,504,Held By
2177,PARLIAMENT AND DUNDAS,501,Emergency Services
2178,QUEEN AND GEORGE,501,Diversion
2179,Queen and Spadina,505,Mechanical
2180,QUEEN AND SPADINA,501,Diversion
2181,Dundas and Landsdowne,505,Diversion
2182,College and Clinton,506,Mechanical
2183,NEVILLE LOOP,501,Mechanical
2184,QUEEN AND JARVIS,501,Investigation
2185,LAKESHORE AND ISLINGTON,501,Mechanical
2186,Broadview/Dundas,505,Investigation
2187,Queen/Leslie,501,Held By
2188,Leslie/Queen,504,General Delay
2189,King/Sumach,310,Investigation
2190,Spadina and queensquay,509,Held By
2191,SCW Stn,512,Investigation
2192,Adelaide and Parliament,504,Mechanical
2193,CNE,509,Investigation
2194,College and Spadina,506,Mechanical
2195,Queen and Greenwood,501,Mechanical
2196,QUEEN AND JOHN,501,Investigation
2197,QUEEN AND PARLIAMENT,501,Mechanical
2198,QUEEN AND JARVIS,501,Mechanical
2199,Spadina and Sussex,510,Investigation
2200,Spadina Station,511,Utilized Off Route
2201,Harbourfront Tunnel Entrance,510,Held By
2202,Queen and Degrassi,504,Overhead - Pantograph
2203,Queen/Empire,505,Held By
2204,Queen & Degrassi,501,Held By
2205,Broadview and Queen,504,Late Leaving Garage
2206,Queen and Degrassi,503,Overhead - Pantograph
2207,Spadina and King,510,Late Leaving Garage
2208,CNE Loop,509,Held By
2209,SPADINA AND QUEENSQUAY,509,Late Leaving Garage
2210,Queen and Degrassi,504,Held By
2211,Broadview and Dundas,505,Held By
2212,Spadina Stn,510,Mechanical
2213,Broadview and Dundas,504,Overhead - Pantograph
2214,Spadina Station,511,Utilized Off Route
2215,Dundas and broadview,505,Overhead - Pantograph
2216,SCW Stn,512,Mechanical
2217,Exhibition,511,Utilized Off Route
2218,Main Station,506,Utilized Off Route
2219,Dundas West Station,504,Investigation
2220,Dundas West Station,506,Utilized Off Route
2221,Roncy and Fermanagh,504,Investigation
2222,Dundas at Broadview,505,Diversion
2223,Broadview and Dundas,504,Diversion
2224,Russell Yard,505,Mechanical
2225,St. Clair West Station,512,Investigation
